strain_ID	strain_type	active_substance	test_start	test_read	nb_day	dose	perc_croiss
1634	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	84.2
1634	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	77.2
1634	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	91.2
1634	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	73.7
1634	study	boscalid	28-Jun-18	9-Aug-18	42	1	21.1
1634	study	boscalid	28-Jun-18	9-Aug-18	42	3	0.0
1634	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
1634	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
1680	study	boscalid	28-Jun-18	9-Aug-18	42	0	NA
1680	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	NA
1680	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	NA
1680	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	NA
1680	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	NA
1680	study	boscalid	28-Jun-18	9-Aug-18	42	1	NA
1680	study	boscalid	28-Jun-18	9-Aug-18	42	3	NA
1680	study	boscalid	28-Jun-18	9-Aug-18	42	10	NA
1680	study	boscalid	28-Jun-18	9-Aug-18	42	30	NA
2199	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2199	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	71.9
2199	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	73.7
2199	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	96.5
2199	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	75.4
2199	study	boscalid	28-Jun-18	9-Aug-18	42	1	0.0
2199	study	boscalid	28-Jun-18	9-Aug-18	42	3	0.0
2199	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
2199	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
2202	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2202	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	92.5
2202	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	87.5
2202	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	95.0
2202	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	100.0
2202	study	boscalid	28-Jun-18	9-Aug-18	42	1	82.5
2202	study	boscalid	28-Jun-18	9-Aug-18	42	3	67.5
2202	study	boscalid	28-Jun-18	9-Aug-18	42	10	10.0
2202	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
2203	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2203	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	94.6
2203	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	100.0
2203	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	94.6
2203	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	91.9
2203	study	boscalid	28-Jun-18	9-Aug-18	42	1	86.5
2203	study	boscalid	28-Jun-18	9-Aug-18	42	3	73.0
2203	study	boscalid	28-Jun-18	9-Aug-18	42	10	10.8
2203	study	boscalid	28-Jun-18	9-Aug-18	42	30	32.4
2222	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2222	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	76.2
2222	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	95.2
2222	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	95.2
2222	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	85.7
2222	study	boscalid	28-Jun-18	9-Aug-18	42	1	40.5
2222	study	boscalid	28-Jun-18	9-Aug-18	42	3	0.0
2222	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
2222	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
2223	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2223	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	67.7
2223	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	71.0
2223	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	67.7
2223	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	51.6
2223	study	boscalid	28-Jun-18	9-Aug-18	42	1	12.9
2223	study	boscalid	28-Jun-18	9-Aug-18	42	3	0.0
2223	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
2223	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
2225	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2225	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	92.3
2225	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	100.0
2225	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	80.8
2225	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	48.1
2225	study	boscalid	28-Jun-18	9-Aug-18	42	1	0.0
2225	study	boscalid	28-Jun-18	9-Aug-18	42	3	0.0
2225	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
2225	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
2230	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2230	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	101.8
2230	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	66.7
2230	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	87.7
2230	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	68.4
2230	study	boscalid	28-Jun-18	9-Aug-18	42	1	29.8
2230	study	boscalid	28-Jun-18	9-Aug-18	42	3	0.0
2230	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
2230	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
2335	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2335	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	105.4
2335	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	97.3
2335	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	97.3
2335	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	97.3
2335	study	boscalid	28-Jun-18	9-Aug-18	42	1	102.7
2335	study	boscalid	28-Jun-18	9-Aug-18	42	3	64.9
2335	study	boscalid	28-Jun-18	9-Aug-18	42	10	2.7
2335	study	boscalid	28-Jun-18	9-Aug-18	42	30	2.7
2340	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2340	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	102.6
2340	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	82.1
2340	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	87.2
2340	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	79.5
2340	study	boscalid	28-Jun-18	9-Aug-18	42	1	66.7
2340	study	boscalid	28-Jun-18	9-Aug-18	42	3	17.9
2340	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
2340	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
2345	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2345	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	90.0
2345	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	92.5
2345	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	90.0
2345	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	85.0
2345	study	boscalid	28-Jun-18	9-Aug-18	42	1	77.5
2345	study	boscalid	28-Jun-18	9-Aug-18	42	3	50.0
2345	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
2345	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
2349	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2349	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	97.7
2349	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	90.9
2349	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	100.0
2349	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	81.8
2349	study	boscalid	28-Jun-18	9-Aug-18	42	1	50.0
2349	study	boscalid	28-Jun-18	9-Aug-18	42	3	31.8
2349	study	boscalid	28-Jun-18	9-Aug-18	42	10	9.1
2349	study	boscalid	28-Jun-18	9-Aug-18	42	30	9.1
2353	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2353	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	83.0
2353	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	85.1
2353	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	89.4
2353	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	85.1
2353	study	boscalid	28-Jun-18	9-Aug-18	42	1	72.3
2353	study	boscalid	28-Jun-18	9-Aug-18	42	3	46.8
2353	study	boscalid	28-Jun-18	9-Aug-18	42	10	6.4
2353	study	boscalid	28-Jun-18	9-Aug-18	42	30	4.3
2360	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2360	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	92.5
2360	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	105.0
2360	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	97.5
2360	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	97.5
2360	study	boscalid	28-Jun-18	9-Aug-18	42	1	87.5
2360	study	boscalid	28-Jun-18	9-Aug-18	42	3	62.5
2360	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
2360	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
2408	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2408	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	91.9
2408	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	102.7
2408	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	100.0
2408	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	86.5
2408	study	boscalid	28-Jun-18	9-Aug-18	42	1	73.0
2408	study	boscalid	28-Jun-18	9-Aug-18	42	3	0.0
2408	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
2408	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
2447	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2447	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	97.7
2447	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	86.0
2447	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	102.3
2447	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	74.4
2447	study	boscalid	28-Jun-18	9-Aug-18	42	1	4.7
2447	study	boscalid	28-Jun-18	9-Aug-18	42	3	2.3
2447	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
2447	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
2448	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2448	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	108.8
2448	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	102.9
2448	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	97.1
2448	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	79.4
2448	study	boscalid	28-Jun-18	9-Aug-18	42	1	35.3
2448	study	boscalid	28-Jun-18	9-Aug-18	42	3	2.9
2448	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
2448	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
2449	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2449	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	90.2
2449	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	90.2
2449	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	102.4
2449	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	92.7
2449	study	boscalid	28-Jun-18	9-Aug-18	42	1	0.0
2449	study	boscalid	28-Jun-18	9-Aug-18	42	3	0.0
2449	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
2449	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
2450	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2450	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	117.5
2450	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	117.5
2450	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	112.5
2450	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	112.5
2450	study	boscalid	28-Jun-18	9-Aug-18	42	1	87.5
2450	study	boscalid	28-Jun-18	9-Aug-18	42	3	2.5
2450	study	boscalid	28-Jun-18	9-Aug-18	42	10	2.5
2450	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
2453	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2453	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	76.2
2453	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	95.2
2453	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	100.0
2453	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	76.2
2453	study	boscalid	28-Jun-18	9-Aug-18	42	1	33.3
2453	study	boscalid	28-Jun-18	9-Aug-18	42	3	23.8
2453	study	boscalid	28-Jun-18	9-Aug-18	42	10	11.9
2453	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
2461	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2461	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	95.7
2461	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	95.7
2461	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	87.0
2461	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	69.6
2461	study	boscalid	28-Jun-18	9-Aug-18	42	1	0.0
2461	study	boscalid	28-Jun-18	9-Aug-18	42	3	0.0
2461	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
2461	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
2479	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2479	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	96.2
2479	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	103.8
2479	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	111.5
2479	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	61.5
2479	study	boscalid	28-Jun-18	9-Aug-18	42	1	34.6
2479	study	boscalid	28-Jun-18	9-Aug-18	42	3	0.0
2479	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
2479	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
2480	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2480	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	100.0
2480	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	100.0
2480	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	100.0
2480	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	100.0
2480	study	boscalid	28-Jun-18	9-Aug-18	42	1	37.5
2480	study	boscalid	28-Jun-18	9-Aug-18	42	3	9.4
2480	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
2480	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
2482	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2482	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	100.0
2482	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	73.9
2482	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	73.9
2482	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	82.6
2482	study	boscalid	28-Jun-18	9-Aug-18	42	1	17.4
2482	study	boscalid	28-Jun-18	9-Aug-18	42	3	0.0
2482	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
2482	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
2491	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2491	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	95.0
2491	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	110.0
2491	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	110.0
2491	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	95.0
2491	study	boscalid	28-Jun-18	9-Aug-18	42	1	45.0
2491	study	boscalid	28-Jun-18	9-Aug-18	42	3	7.5
2491	study	boscalid	28-Jun-18	9-Aug-18	42	10	2.5
2491	study	boscalid	28-Jun-18	9-Aug-18	42	30	5.0
2557	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
2557	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	95.5
2557	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	97.7
2557	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	81.8
2557	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	104.5
2557	study	boscalid	28-Jun-18	9-Aug-18	42	1	84.1
2557	study	boscalid	28-Jun-18	9-Aug-18	42	3	0.0
2557	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
2557	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
13-AM-10	reference	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
13-AM-10	reference	boscalid	28-Jun-18	9-Aug-18	42	0.01	94.1
13-AM-10	reference	boscalid	28-Jun-18	9-Aug-18	42	0.03	67.6
13-AM-10	reference	boscalid	28-Jun-18	9-Aug-18	42	0.1	79.4
13-AM-10	reference	boscalid	28-Jun-18	9-Aug-18	42	0.3	61.8
13-AM-10	reference	boscalid	28-Jun-18	9-Aug-18	42	1	11.8
13-AM-10	reference	boscalid	28-Jun-18	9-Aug-18	42	3	0.0
13-AM-10	reference	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
13-AM-10	reference	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
13-AM-12	reference	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
13-AM-12	reference	boscalid	28-Jun-18	9-Aug-18	42	0.01	103.6
13-AM-12	reference	boscalid	28-Jun-18	9-Aug-18	42	0.03	92.9
13-AM-12	reference	boscalid	28-Jun-18	9-Aug-18	42	0.1	107.1
13-AM-12	reference	boscalid	28-Jun-18	9-Aug-18	42	0.3	89.3
13-AM-12	reference	boscalid	28-Jun-18	9-Aug-18	42	1	14.3
13-AM-12	reference	boscalid	28-Jun-18	9-Aug-18	42	3	0.0
13-AM-12	reference	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
13-AM-12	reference	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
13-FR-1	reference	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
13-FR-1	reference	boscalid	28-Jun-18	9-Aug-18	42	0.01	96.2
13-FR-1	reference	boscalid	28-Jun-18	9-Aug-18	42	0.03	103.8
13-FR-1	reference	boscalid	28-Jun-18	9-Aug-18	42	0.1	94.2
13-FR-1	reference	boscalid	28-Jun-18	9-Aug-18	42	0.3	80.8
13-FR-1	reference	boscalid	28-Jun-18	9-Aug-18	42	1	1.9
13-FR-1	reference	boscalid	28-Jun-18	9-Aug-18	42	3	0.0
13-FR-1	reference	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
13-FR-1	reference	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
1639VB	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
1639VB	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	93.8
1639VB	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	104.2
1639VB	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	120.8
1639VB	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	87.5
1639VB	study	boscalid	28-Jun-18	9-Aug-18	42	1	45.8
1639VB	study	boscalid	28-Jun-18	9-Aug-18	42	3	2.1
1639VB	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
1639VB	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
FR-17-15	reference	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
FR-17-15	reference	boscalid	28-Jun-18	9-Aug-18	42	0.01	78.7
FR-17-15	reference	boscalid	28-Jun-18	9-Aug-18	42	0.03	93.6
FR-17-15	reference	boscalid	28-Jun-18	9-Aug-18	42	0.1	93.6
FR-17-15	reference	boscalid	28-Jun-18	9-Aug-18	42	0.3	93.6
FR-17-15	reference	boscalid	28-Jun-18	9-Aug-18	42	1	78.7
FR-17-15	reference	boscalid	28-Jun-18	9-Aug-18	42	3	0.0
FR-17-15	reference	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
FR-17-15	reference	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
104	study	difenoconazole	28-Jun-18	9-Aug-18	42	0	100.0
104	study	difenoconazole	28-Jun-18	9-Aug-18	42	0.01	56.4
104	study	difenoconazole	28-Jun-18	9-Aug-18	42	0.03	51.3
104	study	difenoconazole	28-Jun-18	9-Aug-18	42	0.1	38.5
104	study	difenoconazole	28-Jun-18	9-Aug-18	42	0.3	30.8
104	study	difenoconazole	28-Jun-18	9-Aug-18	42	1	30.8
104	study	difenoconazole	28-Jun-18	9-Aug-18	42	3	15.4
104	study	difenoconazole	28-Jun-18	9-Aug-18	42	10	0.0
104	study	difenoconazole	28-Jun-18	9-Aug-18	42	30	0.0
174	study	difenoconazole	28-Jun-18	9-Aug-18	42	0	100.0
174	study	difenoconazole	28-Jun-18	9-Aug-18	42	0.01	88.0
174	study	difenoconazole	28-Jun-18	9-Aug-18	42	0.03	80.0
174	study	difenoconazole	28-Jun-18	9-Aug-18	42	0.1	56.0
174	study	difenoconazole	28-Jun-18	9-Aug-18	42	0.3	28.0
174	study	difenoconazole	28-Jun-18	9-Aug-18	42	1	16.0
174	study	difenoconazole	28-Jun-18	9-Aug-18	42	3	0.0
174	study	difenoconazole	28-Jun-18	9-Aug-18	42	10	0.0
174	study	difenoconazole	28-Jun-18	9-Aug-18	42	30	0.0
413	study	difenoconazole	28-Jun-18	9-Aug-18	42	0	100.0
413	study	difenoconazole	28-Jun-18	9-Aug-18	42	0.01	44.0
413	study	difenoconazole	28-Jun-18	9-Aug-18	42	0.03	38.0
413	study	difenoconazole	28-Jun-18	9-Aug-18	42	0.1	32.0
413	study	difenoconazole	28-Jun-18	9-Aug-18	42	0.3	28.0
413	study	difenoconazole	28-Jun-18	9-Aug-18	42	1	20.0
413	study	difenoconazole	28-Jun-18	9-Aug-18	42	3	2.0
413	study	difenoconazole	28-Jun-18	9-Aug-18	42	10	0.0
413	study	difenoconazole	28-Jun-18	9-Aug-18	42	30	0.0
498	study	difenoconazole	28-Jun-18	9-Aug-18	42	0	100.0
498	study	difenoconazole	28-Jun-18	9-Aug-18	42	0.01	93.6
498	study	difenoconazole	28-Jun-18	9-Aug-18	42	0.03	97.9
498	study	difenoconazole	28-Jun-18	9-Aug-18	42	0.1	100.0
498	study	difenoconazole	28-Jun-18	9-Aug-18	42	0.3	100.0
498	study	difenoconazole	28-Jun-18	9-Aug-18	42	1	89.4
498	study	difenoconazole	28-Jun-18	9-Aug-18	42	3	51.1
498	study	difenoconazole	28-Jun-18	9-Aug-18	42	10	12.8
498	study	difenoconazole	28-Jun-18	9-Aug-18	42	30	0.0
736	study	difenoconazole	28-Jun-18	9-Aug-18	42	0	100.0
736	study	difenoconazole	28-Jun-18	9-Aug-18	42	0.01	90.9
736	study	difenoconazole	28-Jun-18	9-Aug-18	42	0.03	72.7
736	study	difenoconazole	28-Jun-18	9-Aug-18	42	0.1	54.5
736	study	difenoconazole	28-Jun-18	9-Aug-18	42	0.3	29.5
736	study	difenoconazole	28-Jun-18	9-Aug-18	42	1	25.0
